tinh,huyen,xa,diaban,hoso,m5b4c2_1,m5b4c2_2,m5b4c2_3,m5b4c2_4,m5b4c2_5,m5b4c2_6,m5b4c2_7,m5b4c2_8
101,8,3.0,7,14,0,0,0,0,0,0,0,0
101,8,3.0,7,15,0,0,0,0,0,0,0,0
101,8,5.0,16,13,0,0,0,0,0,0,0,0
101,8,5.0,16,14,0,0,0,0,0,0,0,0
101,8,5.0,16,15,0,0,0,0,0,0,0,0
101,8,7.0,18,14,0,0,0,0,0,0,0,0
101,8,7.0,18,19,0,0,0,14000,0,0,0,0
101,8,7.0,18,20,0,0,0,0,0,0,0,0
101,8,15.0,27,14,0,0,0,0,0,0,0,0
101,8,15.0,27,15,0,0,0,0,0,0,0,0
101,8,15.0,27,20,0,0,0,0,0,0,0,0
101,8,19.0,22,14,0,0,0,0,0,0,0,0
101,8,19.0,22,15,0,0,0,0,0,0,0,0
101,8,19.0,22,20,0,0,0,0,0,0,0,0
101,8,25.0,6,14,0,0,0,0,0,0,0,0
101,8,25.0,6,15,0,0,0,0,0,0,0,0
101,8,25.0,6,19,0,0,0,0,0,0,0,0
101,8,27.0,16,13,0,0,0,0,0,0,0,0
101,8,27.0,16,14,0,0,0,300000,0,0,0,0
101,8,27.0,16,15,0,0,0,0,0,0,0,0
101,9,3.0,23,13,0,0,0,0,0,0,0,0
101,9,3.0,23,14,0,0,0,0,0,0,0,0
101,9,3.0,23,15,0,0,0,0,0,0,0,0
101,9,5.0,8,14,0,0,0,0,0,0,0,0
101,9,5.0,8,15,0,0,0,0,0,0,0,0
101,9,5.0,8,24,0,0,0,0,0,0,0,0
101,9,11.0,35,13,0,0,0,0,0,0,0,0
101,9,11.0,35,14,0,0,0,0,0,0,0,0
101,9,11.0,35,20,0,0,0,0,0,0,0,0
101,9,15.0,15,13,0,0,8200,25000,0,0,0,0
101,9,15.0,15,15,0,0,5100,42000,0,0,0,0
101,9,15.0,15,19,0,0,5100,12000,0,0,0,0
101,9,19.0,26,13,0,0,0,0,0,0,0,0
101,9,19.0,26,14,0,0,0,35000,0,0,0,0
101,9,19.0,26,15,0,0,0,0,0,0,0,0
101,9,23.0,11,14,0,0,0,5000,0,0,0,0
101,9,23.0,11,15,0,0,0,0,0,0,0,0
101,9,23.0,11,24,40000,0,0,0,0,0,0,0
101,9,31.0,10,13,0,0,0,8000,0,0,0,0
101,9,31.0,10,14,0,0,0,10000,0,0,0,0
101,9,31.0,10,15,0,0,0,15000,0,0,0,0
101,9,33.0,10,19,0,0,0,0,0,0,0,0
101,9,33.0,10,20,0,0,0,0,0,0,0,0
101,9,33.0,10,24,0,0,0,0,0,0,0,0
101,9,35.0,24,13,0,0,0,0,0,0,0,0
101,9,35.0,24,14,0,0,0,0,0,0,0,0
101,9,35.0,24,20,0,0,0,0,0,0,0,0
101,9,39.0,17,19,0,0,0,0,0,0,0,0
101,9,39.0,17,20,0,0,0,0,0,0,0,0
101,9,39.0,17,24,0,0,0,0,0,0,0,0
101,11,1.0,10,13,0,0,0,0,0,0,0,0
101,11,1.0,10,14,0,0,0,0,0,0,0,0
101,11,1.0,10,15,0,0,0,0,0,0,0,0
101,11,3.0,17,13,0,0,0,20000,0,0,0,0
101,11,3.0,17,15,0,0,0,100000,0,0,0,0
101,11,3.0,17,24,0,0,0,10000,0,0,0,0
