tinh,huyen,xa,diaban,hoso,m3c6,m3c16,m3c17,m3c18,m3c19,m3ct1,m3ct2,m3ct,m4atn1,m4atn2,m4atn3,m4atn4,m4atn5,m4atn,m4b0c1,m4b0t1,m4b0t2,m4b1a,m4b1b,m4b11t,m4b12t,m4b13t,m4b14t,m4b15t,m4b16c3a,m4b16c3b,m4b16c3c,m4b1t,m4b1c,m4b1tn,m4b21a,m4b21b,m4b21t
101,7,15.0,13,19,1,200,0,240,0,0,1000,1440.0,67761,10353,0,0,0,78114.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,15.0,13,20,2,200,0,0,0,0,0,200.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,19.0,25,13,1,5800,180,120,4251,6500,0,12600.0,55101,8082,0,0,0,63183.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,19.0,25,15,1,4900,200,120,1663,800,0,6020.0,22040,3031,0,0,0,25071.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,19.0,25,20,1,8270,200,0,2033,9580,0,18050.0,29203,15062,0,0,0,44265.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,21.0,16,13,1,20,0,45,0,1900,0,1965.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,21.0,16,15,1,60,170,570,462,15000,0,15800.0,61713,17302,0,0,0,79015.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,21.0,16,20,2,50,0,410,0,0,0,460.0,22040,6079,0,0,0,28119.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,27.0,3,13,2,200,0,40,0,0,0,240.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,27.0,3,14,2,200,0,0,0,0,0,200.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
