tinh,huyen,xa,diaban,hoso,matv,m4ac1a,m4ac1b,m4ac1c,m4ac2,m4ac3,m4ac4,m4ac5,m4ac6,m4ac7,m4ac8,m4ac9,m4ac10a,m4ac10b,m4ac11,m4ac12a,m4ac12b,m4ac12c,m4ac12d,m4ac12e,m4ac12f,m4ac13,m4ac14,m4ac15,m4ac16,m4ac17,m4ac18,m4ac19,m4ac20,m4ac21,m4ac22a,m4ac22b,m4ac22c,m4ac22d,m4ac22e,m4ac22f,m4ac23,m4ac24,m4ac25,m4ac26,m4ac27
501,1,15,17,14,6,1,2,2,1,,91,85,7,26,8,1,3,,6329,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,1
501,1,15,17,14,7,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
501,1,15,17,19,1,1,2,2,1,,31,35,12,26,8,27,4,2,31922,4750,0,0,0,17101,21851,2,,,,,,,,,,,,,,0,,,,1,1
501,1,15,17,19,2,2,2,1,1,,91,85,12,26,10,5,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
501,1,15,17,19,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
501,1,15,17,19,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
501,1,15,17,19,5,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
501,1,17,12,13,1,1,2,2,1,,24,73,12,26,8,1,6,,25082,2850,0,0,0,3420,6270,2,,,,,,,,,,,,,,0,,,,1,1
501,1,17,12,13,2,1,2,2,1,,24,47,12,24,8,3,7,,22802,2375,0,0,0,760,3135,2,,,,,,,,,,,,,,0,,,,1,4
501,1,17,12,14,1,2,2,1,1,,52,56,12,30,4,10,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,4
501,1,17,12,14,2,1,2,2,1,,72,32,12,20,8,20,3,,21072,293,0,0,0,0,293,2,,,,,,,,,,,,,,0,,,,1,1
501,1,17,12,14,3,2,2,1,1,,52,56,12,26,4,3,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,3
501,1,17,12,14,4,1,2,2,1,,71,41,12,25,10,6,3,,20487,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,2,
501,1,17,12,14,6,1,2,2,1,,71,41,12,27,8,3,3,,8195,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,2,
501,1,17,12,14,7,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,3
501,1,17,12,14,8,2,2,1,1,,91,56,12,30,9,2,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
501,1,17,12,15,1,2,2,1,1,,51,96,12,30,10,5,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,1
501,1,17,12,15,2,2,2,2,2,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,4
501,1,17,12,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
501,1,19,13,13,1,2,2,2,2,7,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
501,1,19,13,13,2,1,2,2,1,,24,47,12,26,8,2,6,,35594,1924,0,0,3656,1443,7023,2,,,,,,,,,,,,,,0,,,,1,6
501,1,19,13,14,1,1,2,2,1,,93,41,3,20,8,1,3,,3165,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,2,
501,1,19,13,14,2,2,2,1,1,,52,47,12,20,7,15,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
501,1,19,13,14,3,1,2,2,1,,51,96,2,16,2,1,3,,792,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,1
501,1,19,13,15,1,1,2,2,1,,72,94,12,24,8,15,6,,15824,527,0,0,0,351,878,2,,,,,,,,,,,,,,0,,,,1,1
501,1,19,13,15,2,1,2,2,1,,51,85,12,25,9,3,6,,2742,439,0,0,0,792,1231,2,,,,,,,,,,,,,,0,,,,1,3
501,1,19,13,15,3,1,2,2,1,,71,41,4,26,8,0,3,,2637,176,0,0,0,0,176,2,,,,,,,,,,,,,,0,,,,1,1
501,1,19,13,15,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
