tinh,huyen,xa,diaban,hoso,matv,m4ac4m,m4ac5c,m4ac5m,m4ac14m,m4ac15c,m4ac15m
101,7,3.0,19,13,4.0,Giao dÞch kh¸ch hµng,frudenstial,DÞch vô b¶o hiÓm,,,
101,7,3.0,19,14,2.0,B¸n hµng phu tïng xe m¸y,Chî giêi Hoµ B×nh,B¸n phô tïng xe m¸y,,,
101,7,3.0,19,14,1.0,L¸i xe chë kh¸ch,Chî giêi Hoµ B×nh,Chë kh¸ch,,,
101,7,3.0,19,15,1.0,Gi¸m ®èc,Cty TNHH Lîi §«ng,KD ®å gç néi thÊt VP,,,
101,7,3.0,19,15,2.0,Phã gi¸m ®èc,Cty TNHH Lîi §«ng,KD ®å gç néi thÊt VP+,,,
101,7,11.0,15,13,4.0,nh©n viªn,CTy Kepresentath PSCGoBal,t­ vÊn du häc,,,
101,7,11.0,15,13,3.0,nh©n viªn,c«ng ty XD vµ bé gth«ng,XD cÇu ®­êng,,,
101,7,11.0,15,13,7.0,nh©n viªn kinh doanh,Cty Liªn doanh,m«i giíi tµu biÓt,,,
101,7,11.0,15,13,2.0,"phã chñ tÞch ,tæ tr­ëng",UBND Ph¹m §×nh Hå,QLNN ®Þa ph­¬ng,,,
101,7,11.0,15,13,6.0,chuyªn viªn luËt,Vô ph¸p chÕ bé GT,LuËt,,,
101,7,11.0,15,14,2.0,kÕ to¸n,Cty DVTM tæng hîp,may,,,
101,7,11.0,15,14,1.0,b¸n n­íc chÌ 91,hé c¸ thÓ,b¸n n­íc chÌ,,,
101,7,11.0,15,15,3.0,gi¸m ®èc,CT TNHH t©n h­¬ng viÖt,b¸n m¸y v¨n phßng,,,
101,7,11.0,15,15,4.0,kÕ to¸n,Cty TNHH t©n h­¬ng viÖt,b¸n m¸y v¨n phßng,,,
101,7,15.0,13,15,4.0,nh©n viªn maketing,cty ld kyb,th­¬ng m¹i,,,
101,7,15.0,13,19,3.0,nvphßng ph¸tthÎ,ng©n hµngngo¹ith­¬ng,dÞchvô ng©n hµng,,,
101,7,15.0,13,20,,,,,,,
101,7,19.0,25,13,3.0,CB QL dù ¸n,Cty chÕ t¹o cèt thÐp Huyn,SX chÕ t¹o cèt thÐp,,,
101,7,19.0,25,13,2.0,CB ®iÒu tra,CA HN,QL an Ninh,,,
101,7,19.0,25,15,3.0,L¸i xe,T­ nh©n,KD VLXD,,,
101,7,19.0,25,20,5.0,B¶o vÖ,KCN §Òn Lõ,Cho thuª mÆt b»ng,,,
101,7,19.0,25,20,4.0,Trî lý G§,Cty CP truyÒn th«ng VTC,TruyÒn h×nh,,,
101,7,19.0,25,20,6.0,B¸n c¸ mùc,Tù lµm,b¸n c¸,,,
101,7,19.0,25,20,3.0,Gi¸m ®èc,Cty Vµng Danh,KD than ®¸,,,
101,7,21.0,16,13,,,,,,,
101,7,21.0,16,15,5.0,gia s­,lµm cho hé kh¸c,d¹y häc,,,
101,7,21.0,16,15,4.0,lµm may,tù lµm,may ®o quÇn ¸o,,,
101,7,21.0,16,15,3.0,nh©n viªn kinh doanh,C«ng ty TNHH Th¸i Vinh,kinh doanh m¸y photo,,,
101,7,21.0,16,20,3.0,nh©n viªn sao l¸,kh¸ch s¹n hµ néi,kh¸ch s¹n,,,
101,7,21.0,16,20,2.0,b¸n thÞt,tù lµm,b¸n thÞt,,,
101,7,27.0,3,13,1.0,B¸n bia h¬i,C¸ thÓ,B¸n bia h¬i,,,
101,7,27.0,3,13,2.0,B¸n bia h¬i,C¸ thÓ,B¸n bia h¬i,,,
101,7,27.0,3,14,,,,,,,
101,7,27.0,3,15,2.0,CN thî nguéi,XN SC toa xe,SC toa xe,,,
