tinh,huyen,xa,diaban,hoso,matv,m4ac4m,m4ac5c,m4ac5m,m4ac14m,m4ac15c,m4ac15m
816,7,31.0,12,13,1.0,B¸n ¨n uèng,T¹i hé,Bón,,,
816,7,31.0,12,14,2.0,Lµm thuª,Hé kh¸c,Lét vá trµm,,,
816,7,31.0,12,14,1.0,Lµm thuª,Hé kh¸c,Ghe chë c©y,,,
816,7,31.0,12,15,2.0,Lµm thuª,Hé kh¸c,C¾t lóa,,,
816,7,31.0,12,15,3.0,B¾t c¸,T¹i Êp,C¸,,,
816,7,31.0,12,15,1.0,Thî hå,Hé kh¸c,X©y nhµ,Lµm thuª,Hé kh¸c,C¾t lóa
816,9,3.0,19,13,1.0,lµm thuª,hé kh¸c,x©y dùng,lµm lóa,t¹i hé,lóa
816,9,3.0,19,13,3.0,lµm thuª,hé kh¸c,x©y dùng,b¾t c¸,t¹i Êp,c¸
816,9,3.0,19,13,2.0,céng t¸c viªn d©n sè,DS KHHG§ huyÖn,qlnn,,,
816,9,3.0,19,14,1.0,lµm hå,hé kh¸c,x©y dùng,b¾t c¸,Êp 10,c¸
816,9,3.0,19,14,2.0,b¸n gi¶i kh¸t,t¹i hé,n­íc uèng,,,
816,9,3.0,19,15,3.0,lµm thuª,hé kh¸c,c¾t lóa,lµm lóa,t¹i hé,lóa
816,9,3.0,19,15,1.0,lµm hå,hé kh¸c,x©y dùng,lµm lóa,t¹i hé,lóa
816,9,5.0,24,13,2.0,Trång lóa,T¹i hé,Lóa,,,
816,9,5.0,24,13,1.0,Trång lóa,T¹i hé,Lóa,Nu«i heo,T¹i hé,Heo
816,9,5.0,24,14,1.0,Trång lóa,T¹i hé,Lóa,Ch¨n nu«i,T¹i hé,"Gµ, vÞt"
816,9,5.0,24,14,2.0,Trång lóa,T¹i hé,Lóa,Ch¨n nu«i,T¹i hé,"Gµ, vÞt"
816,9,5.0,24,15,1.0,B¸n x«i,Êp 3,x«i,,,
816,9,5.0,24,15,2.0,Phô hå,Hé kh¸c,x©y nhµ,B¾t c¸,Êp 3,C¸
816,9,7.0,2,13,5.0,trång lóa,t¹i hé,lóa,,,
816,9,7.0,2,13,4.0,trång lóa,t¹i hé,lóa,b¾t c¸,Êp 9,c¸
816,9,7.0,2,13,2.0,nu«i heo,t¹i hé,heo,,,
816,9,7.0,2,13,1.0,trång lóa,t¹i hé,lóa,,,
816,9,7.0,2,13,3.0,nu«i heo,t¹i hé,heo,,,
816,9,7.0,2,14,3.0,lµm thuª,hé kh¸c,x©y dùng,,,
816,9,7.0,2,14,4.0,nÊu r­îu,t¹i hé,r­îu,nu«i heo,t¹i hé,heo
816,9,7.0,2,15,4.0,lµm thuª,hé kh¸c,n«ng nghiÖp,trång lóa,t¹i hé,lóa
816,9,7.0,2,15,1.0,trång lóa,t¹i hé,lóa,,,
816,9,7.0,2,15,6.0,lµm thuª,hé kh¸c,n«ng nghiÖp,trång lóa,t¹i hé,lóa
816,9,7.0,2,15,5.0,lµm thuª,hé kh¸c,n«ng nghiÖp,trång lóa,t¹i hé,lóa
816,9,9.0,50,13,2.0,Trång lóa,Tù lµm cho hé,lóa,,,
816,9,9.0,50,13,1.0,Trång lóa,Tù lµm cho hé,lóa,xíi ®Êt,Tù lµm cho hé,xíi ®Êt
816,9,9.0,50,14,,,,,,,
816,9,9.0,50,15,3.0,Trång lóa,Tù lµm cho hé,lóa,,,
816,9,9.0,50,15,10.0,d¹y häc mÉu gi¸o,trg mÇm non TX. VÞ Thanh,gi¸o dôc mÉu gi¸o,lµm ruéng,Tù lµm cho hé,lóa
816,9,9.0,50,15,8.0,Trång lóa,Tù lµm cho hé,lóa,,,
816,9,9.0,50,15,7.0,tiÕp thÞ,cty TNHH PI,s¶n xuÊt mü phÈm,,,
816,9,9.0,50,15,11.0,Trång lóa,Tù lµm cho hé,lóa,sÊy lóa,Tù lµm cho hé,sÊy lóa
816,9,9.0,50,15,5.0,Trång lóa,Tù lµm cho hé,lóa,nu«i c¸,Tù lµm cho hé,c¸
816,9,9.0,50,15,2.0,Trång lóa,Tù lµm cho hé,lóa,,,
816,9,9.0,50,15,1.0,Trång lóa,Tù lµm cho hé,lóa,,,
816,9,9.0,50,15,4.0,Trång lóa,Tù lµm cho hé,lóa,nu«i c¸,Tù lµm cho hé,c¸
816,9,11.0,12,13,2.0,Trång lóa,Tù lµm cho hé,lóa,,,
816,9,11.0,12,13,1.0,kÕ to¸n,tr­êng TH vÜnh trung 3,gi¸o dôc tiÓu häc,Trång lóa,Tù lµm cho hé,lóa
816,9,11.0,12,14,2.0,lµm thuª,lµm cho hé kh¸c,"c¾t lóa, lµm cá",nu«i c¸,Tù lµm cho hé,c¸ lãc
816,9,11.0,12,14,1.0,phô hå,lµm cho hé kh¸c,x©y nhµ,lµm thuª n«ng nghiÖp,lµm cho hé kh¸c,"c¾t lóa, lµm cá"
816,9,11.0,12,15,5.0,c¾m c©u,Tù lµm cho hé,b¾t c¸,,,
816,9,11.0,12,15,6.0,c¾t lóa thuª,lµm cho hé kh¸c,lóa,,,
816,9,11.0,12,15,3.0,c¾t lóa thuª,lµm cho hé kh¸c,c¾t lóa,ch¨n nu«i,Tù lµm cho hé,heo
816,9,11.0,12,15,4.0,c¾t lóa thuª,lµm cho hé kh¸c,lóa,ch¨n nu«i,Tù lµm cho hé,heo
816,9,17.0,21,14,3.0,trång lóa,cña hé,lóa,,,
816,9,17.0,21,14,2.0,lµm thuª n«ng nghiÖp,hé kh¸c,n«ng nghiÖp,trång lóa,cña hé,lóa
816,9,17.0,21,14,1.0,bãc v¸c VLXD,hé kh¸c,b¸n lÎ VLXD,trång lóa,cña hé,lóa
816,9,17.0,21,15,3.0,lµm thuª n«ng nghiÖp,hé kh¸c,n«ng nghiÖp,b¾t thñy s¶n,cña hé,thñy s¶n
816,9,17.0,21,15,4.0,lµm thuª n«ng nghiÖp,hé kh¸c,n«ng nghiÖp,,,
816,9,17.0,21,15,1.0,trång chuèi,cña hé,chuèi,,,
816,9,17.0,21,19,2.0,lµm ruéng,cña hé,lóa,,,
816,9,17.0,21,19,7.0,c¾t lóa thuª,hé kh¸c,lóa,,,
816,9,17.0,21,19,8.0,c¾t lóa thuª,hé kh¸c,lóa,,,
816,9,17.0,21,19,1.0,lµm ruéng,cña hé,lóa,b¾t c¸,cña hé,c¸
816,11,1.0,20,13,3.0,b¾t c¸,Tù lµm cho hé,b¾t c¸,ch¨n nu«i,Tù lµm cho hé,"gµ, vÞt, heo"
816,11,1.0,20,13,1.0,b¾t c¸,Tù lµm cho hé,b¾t c¸,ch¨n nu«i,Tù lµm cho hé,"gµ, vÞt, heo"
816,11,1.0,20,13,2.0,ch¹y xe l«i ®¹p,Tù lµm cho hé,chë kh¸ch,,,
816,11,1.0,20,14,1.0,b¸n giµy dÐp,Tù lµm cho hé,b¸n giµy dÐp,,,
816,11,1.0,20,14,2.0,l¸i xe,bÖnh viÖn §K long mü,kh¸m ch÷a bÖnh,,,
816,11,1.0,20,15,2.0,bãc v¸c,cty l­¬ng thùc tæ 2,chÕ biÕn l­¬ng thùc,,,
816,11,1.0,20,15,1.0,bu«n b¸n,Tù lµm cho hé,b¸n t¹p ho¸,,,
816,11,3.0,22,13,4.0,b¬m c¸t,Tù lµm cho hé,b¬m c¸t,,,
816,11,3.0,22,13,2.0,ch¨n nu«i,Tù lµm cho hé,heo,,,
816,11,3.0,22,13,5.0,b¬m c¸t,Tù lµm cho hé,b¬m c¸t,,,
816,11,3.0,22,13,1.0,b¬m c¸t,Tù lµm cho hé,b¬m c¸t,,,
816,11,3.0,22,14,1.0,bu«n b¸n,Tù lµm cho hé,b¸n t¹p ho¸,,,
816,11,3.0,22,14,2.0,trång c©y ¨n tr¸i,9Tù lµm cho hé,chuèi,bu«n b¸n,Tù lµm cho hé,b¸n t¹p ho¸
816,11,3.0,22,15,1.0,trång nh¶n,Tù lµm cho hé,nh¶n,Trång lóa,Tù lµm cho hé,lóa
816,11,3.0,22,15,2.0,trång nh¶n,Tù lµm cho hé,nh¶n,Trång lóa,Tù lµm cho hé,lóa
816,11,7.0,30,13,3.0,Trång lóa,Tù lµm cho hé,lóa,,,
816,11,7.0,30,13,1.0,Trång lóa,Tù lµm cho hé,lóa,,,
816,11,7.0,30,13,4.0,ch¨n nu«i,Tù lµm cho hé,heo,,,
816,11,7.0,30,14,3.0,Trång lóa,Tù lµm cho hé,lóa,,,
816,11,7.0,30,14,1.0,Trång lóa,Tù lµm cho hé,lóa,,,
816,11,7.0,30,14,4.0,Trång lóa,Tù lµm cho hé,lóa,,,
816,11,7.0,30,14,2.0,ch¨n nu«i,Tù lµm cho hé,heo,,,
816,11,7.0,30,15,4.0,ch¨n nu«i,Tù lµm cho hé,heo,Trång lóa,Tù lµm cho hé,lóa
816,11,7.0,30,15,3.0,Trång lóa,Tù lµm cho hé,lóa,phô hå,lµm cho hé kh¸c,x©y nhµ
816,11,7.0,30,15,1.0,Trång lóa,Tù lµm cho hé,lóa,lµm thuª,lµm cho hé kh¸c,c¾t lóa
816,11,9.0,25,13,1.0,Trång lóa,Tù lµm cho hé,lóa,lß sÊy lóa,Tù lµm cho hé,sÊy lóa
816,11,9.0,25,13,5.0,Trång lóa,Tù lµm cho hé,lóa,nu«i c¸,Tù lµm cho hé,c¸
816,11,9.0,25,13,2.0,Trång lóa,Tù lµm cho hé,lóa,nu«i c¸,Tù lµm cho hé,c¸ th¸t l¸t
816,11,9.0,25,13,4.0,Trång lóa,Tù lµm cho hé,lóa,nu«i c¸,Tù lµm cho hé,c¸
816,11,9.0,25,13,3.0,Trång lóa,Tù lµm cho hé,lóa,lß sÊy lóa,Tù lµm cho hé,s©y lóa
816,11,9.0,25,14,2.0,lµm cá,lµm cho hé kh¸c,"lµm cá, c¾t lóa",gi¨ng l­íi,Tù lµm cho hé,b¾t c¸
816,11,9.0,25,14,1.0,®µo ®Êt,lµm cho hé kh¸c,"®µo ®Êt, c¾t lóa",c¾m c©u,Tù lµm cho hé,b¾t c¸
816,11,9.0,25,15,1.0,d¹y häc,tr­êng TH ThuËn hoµ 1,gi¸o dôc tiÓu häc,Trång lóa,Tù lµm cho hé,lóa
816,11,9.0,25,15,2.0,b¸n t¹p ho¸,Tù lµm cho hé,"b¸n ®Ëu, ®­êng",Trång lóa,Tù lµm cho hé,lóa
816,11,13.0,24,13,3.0,nu«i t«m,lµm cho hé kh¸c,t«m,trång trµm,lµm cho hé gia ®×nh,trµm
816,11,13.0,24,13,1.0,gi¸o viªn,tiÓu häc vÜnh viÔn 3,d¹y häc cÊp 1,trång trµm,Tù lµm cho hé,trµm
816,11,13.0,24,13,2.0,trång trµm,Tù lµm cho hé,trµm,,,
816,11,13.0,24,14,2.0,trång trµm,Tù lµm cho hé,trµm,Trång lóa,Tù lµm cho hé,lóa
816,11,13.0,24,14,1.0,Trång trµm,Tù lµm cho hé,trµm,Trång lóa,Tù lµm cho hé,lóa
816,11,13.0,24,15,2.0,lµm hå,lµm cho hé kh¸c,x©y nhµ,,,
816,11,13.0,24,15,1.0,lµm hå,lµm cho hé kh¸c,x©y nhµ,b¾t c¸,Tù lµm cho hé,b¾t c¸
816,11,15.0,58,13,2.0,h¸i rau b¸n,Tù lµm cho hé,h¸i rau,ch¨n nu«i,Tù lµm cho hé,heo
816,11,15.0,58,14,1.0,"®µo ®Êt, c¾t lóa",lµm cho hé kh¸c,n«ng nghiÖp,b¾t c¸,Tù lµm cho hé,b¾t c¸
816,11,15.0,58,14,3.0,c¾t lóa,lµm cho hé kh¸c,lóa,b¾t c¸,Tù lµm cho hé,b¾t c¸
816,11,15.0,58,14,2.0,ch¨n nu«i,Tù lµm cho hé,heo,,,
816,11,15.0,58,15,1.0,"®µo ®Êt, lµm cá",lµm cho hé kh¸c,"®µo ®Êt, lµm cá",b¾t c¸,Tù lµm cho hé,c¸
816,11,15.0,58,15,2.0,c¾t lóa,lµm cho hé kh¸c,lóa,,,
816,11,17.0,30,13,1.0,Lµm thuª n«ng nghiÖp,Hé kh¸c,C¾t lóa,Ch¨n nu«i,T¹i hé,VÞt
816,11,17.0,30,13,2.0,Lµm thuª n«ng nghiÖp,Hé kh¸c,C¾t lóa,B¾t c¸,Êp 7,C¸
816,11,17.0,30,14,2.0,Lµm ruéng,T¹i hé,Lóa,,,
816,11,17.0,30,14,1.0,Lµm ruéng,T¹i hé,Lóa,,,
816,11,17.0,30,15,3.0,Trång lóa,T¹i hé,Lóa,B¾t c¸,Êp 7,C¸
816,11,17.0,30,15,4.0,Trång lóa,T¹i hé,Lóa,Ch¨n nu«i,T¹i hé,Heo
816,11,17.0,30,15,2.0,Trång lóa,T¹i hé,Lóa,Ch¨n nu«i,T¹i hé,Heo
816,11,17.0,30,15,5.0,Trång lóa,T¹i hé,Lóa,,,
816,11,17.0,30,15,1.0,Trång lóa,T¹i hé,Lóa,,,
817,1,7.0,9,13,3.0,Phô b¸n bón,Hé kh¸c,¡n uèng,,,
817,1,7.0,9,13,1.0,Phô b¸n bón,Hé kh¸c,¡n uèng,,,
817,1,7.0,9,14,2.0,Cho thuª r¹p c­íi,Hé gia ®×nh,Cho thuª r¹p c­íi,NÊu ®¸m tiÖc,Hé kh¸c,DÞch vô
817,1,7.0,9,14,3.0,B¶o tr× xe m¸y,DNTN Thµnh HiÕu,B¸n lÎ xe m¸y,,,
817,1,7.0,9,14,1.0,Cho thuª r¹p c­íi,Tù lµm,Cho thuª ®å dïng gia ®×nh,Söa xe m¸y,Tù lµm,Söa xe m¸y
817,1,7.0,9,15,2.0,Gióp viÖc nhµ,hé kh¸c,ViÖc nhµ,,,
817,1,7.0,9,15,1.0,§i ghe t¶i,Hé kh¸c,VËn t¶i HH ®­êng s«ng,,,
817,1,7.0,9,15,4.0,Thî méc,Hé kh¸c,§ãng tñ bµn,,,
817,1,11.0,12,13,3.0,pô b¸n ®å ®iÖn,c¸ thÓ,b¸n ®å ®iÖn,,,
817,1,11.0,12,13,1.0,thî c¾t kiÕng,c¸ thÓ,c¾t kiÕng,,,
817,1,11.0,12,13,2.0,phô b¸n hñ tiÕu,c¸ thÓ,b¸n hñ tiÕu,,,
817,1,11.0,12,13,4.0,phô b¸n cµ phª,c¸ thÓ,b¸n qu¸n n­íc,,,
817,1,11.0,12,14,3.0,d¸n ®Òcal xe honda,c¸ thÓ,d¸n ®Òcl,,,
817,1,11.0,12,14,2.0,b¸n t¹p ho¸,c¸ thÓ,b¸n lÎ t¹p ho¸,cho thuªnhµ trä,c¸ thÓ,cho thuª nhµ trä
817,1,11.0,12,15,2.0,b¸n qu¸n ¨n vÜa hÌ,ph­êng 6 TXTV,B¸n qu¸n ¨n,,,
817,1,11.0,12,15,3.0,B¸n n­íc ®¸ bÑ,ph­êng 6 TXTV,S¶n xuÊt n­íc ®¸ bÑ,phô b¸n qu¸n ¨n,ph­êng 6,b¸n qu¸n ¨n
817,1,17.0,16,13,2.0,Phô b¸n bón,Hé gia ®×nh,¡n uèng,,,
817,1,17.0,16,13,1.0,B¸n bón n­íc lÌo,Tù lµm,¡n uèng,,,
817,1,17.0,16,14,1.0,Trång lóa,Tùi lµm,Trång trät,,,
817,1,17.0,16,14,3.0,Lµm thuª NN,Hé kh¸c,NN,Trång lóa,Hé gia ®×nh,NN
817,1,17.0,16,14,2.0,Lµm thuª NN,Hé kh¸c,NN,Trång lóa,Hé gia ®×nh,NN
817,1,17.0,16,14,4.0,Phô hå,Hé kh¸c,X©y dùng,Trång lóa,Hé gia ®×nh,NN
817,1,17.0,16,15,3.0,Phô hå,Hé kh¸c,X©y dùng,Trång lóa,Tù lµm,N«ng nghiÖp
817,1,17.0,16,15,2.0,Lµm thuª n«ng nghiÖp,Hé kh¸c,N«ng nghiÖp,,,
817,3,1.0,6,13,2.0,May gia c«ng,Khãm 2,QuÇn ¸o,D¹y may,Trung t©m d¹y nghÒ,D¹y may
817,3,1.0,6,13,1.0,C«ng chøc nhµ n­íc,UB b¶o v65 bµ mÑ vµ trÎ e,Hµnh ch¸nh sù nghiÖp,,,
817,3,1.0,6,15,2.0,B¸n c¬m tÊm,Tù lµm,C¬m,,,
817,3,1.0,6,15,3.0,B¸n c¬m tÊm,Tù lµm,C¬m,,,
817,3,1.0,6,15,1.0,B¸n c¬m tÊm,Tù lµm,C¬m,,,
817,3,1.0,6,20,1.0,S¶n xuÊt bón,Tù lµm cho hé,Bón sîi,Ch¨n nu«i heo,Tù lµm cho hé,Heo sinh s¶n
817,3,1.0,6,20,2.0,S¶n xuÊt bón,Tù lµm cho hé,Bón sîi,Lµm v­ên,Tù lµm cho hé,C©y ¨n tr¸i
817,3,3.0,15,13,1.0,lµm v­ên,tù lµm cho hé,c©y ¨n tr¸i,,,
817,3,3.0,15,13,2.0,lµm v­ên,tù lµm cho hé,c©y ¨n tr¸i,,,
817,3,3.0,15,14,2.0,gióp viÖc nhµ,hé gia ®×nh,gióp viÖc nhµ,,,
817,3,3.0,15,14,1.0,trång lóa,hé gia ®×nh,lóa tÎ th­êng,nu«i bß,hé gia ®×nh,nu«i bß
817,3,3.0,15,15,1.0,gia c«ng xay x¸t g¹o,tù lµm cho hé,xay x¸t g¹o,ch¨n nu«i,tù lµm cho hé,nu«i heo
817,3,3.0,15,15,2.0,trång lóa,tù lµm cho hé,lóa tÎ th­êng,chµ g¹o,tù lµm cho hé,chµ g¹o gia c«ng
817,3,5.0,30,13,1.0,Ch¨n nu«i heo,Hé gia ®×nh,Nu«i heo,Trång lóa,tù lµm,Lóa
817,3,5.0,30,15,6.0,Trång lóa,Tù lµm,Lóa tÎ th­êng,Lµm thuª n«ng nghiÖp,Hé kh¸c,C¾t lóa
817,3,5.0,30,15,4.0,Trång lóa,Tù lµm,Lóa tÎ th­êng,Lµm thuª N«ng nghiÖp,Hé kh¸c,C¾t lóa
817,3,5.0,30,15,2.0,Trång lóa,Tù lµm,Lóa tÎ th­êng,,,
817,3,5.0,30,15,1.0,Trång lóa,Tù lµm,Lóa tÎ th­êng,,,
817,3,5.0,30,15,3.0,Trång lóa,Tù lµm,Lóa tÎ th­êng,Lµm thuª n«ng nghiÖp,Hé kh¸c,C¾t lóa
817,3,5.0,30,15,5.0,Trån glóa,Tù lµm,Lóa tÎ th­êng,Lµm thuª n«ng nghiÖp,Hé kh¸c,C¾t lóa
817,3,5.0,30,19,1.0,Trång lóa,Tù lµm,Lóa tÎ th­êng,Trång dõa,Tù lµm,Dõa
817,3,9.0,11,14,2.0,trång lóa,tù lµm cho hé,lóa tÎ th­êng,b¸n t¹p ho¸,tù lµm cho hé,b¸n lÎ
817,3,9.0,11,14,4.0,trång lóa,tù lµm cho hé,lóa tÎ th­êng,ch¨n nu«i,tù lµm cho hé,nu«i heo
817,3,9.0,11,14,3.0,ch¨n nu«i,tù lµm cho hé,nu«i vÞt lÊy trøng,ch¨n nu«i,tù lµm cho hé,nu«i vÞt lÊy thÞt
817,3,9.0,11,14,1.0,trång lóa,tù lµm cho hé,lóa tÎ th­êng,b¸n t¹p ho¸,tù lµm cho hé,b¸n lÎ
817,3,9.0,11,15,1.0,lµm hå thuª x©y dùng,hé c¸ thÓ kh¸c,x©y dùng nhµ c¸c lo¹i,trång v­ên,hé gia ®×nh,trång dõa
817,3,9.0,11,20,3.0,ch¨n nu«i vÞt,tù lµm cho hé,vÞt ®Î,,,
817,3,9.0,11,20,4.0,trång lóa,tù lµm cho hé,lóa tÎ th­êng,,,
817,3,9.0,11,20,6.0,may gia c«ng,tù lµm cho hé,"may quÇn, ¸o",,,
817,3,9.0,11,20,1.0,trång lóa,tù lµm cho hé,lóa tÎ th­êng,,,
817,3,9.0,11,20,2.0,trång lóa,tù lµm cho hé,lóa tÎ th­êng,,,
817,3,13.0,17,14,6.0,Thî thñ c«ng,DN CÇb th¬,Lµm ®å mü nghÖ,,,
817,3,13.0,17,14,5.0,May giµy da,Kh¶i hoµng,May giµy,,,
817,3,13.0,17,14,4.0,May giµy da,Kh¶i hoµng,May giµy,,,
817,3,13.0,17,14,1.0,Thî thñ c«ng,DN CÇn th¬,Lµm ®å mü nghÖ,Lµm v­ên,Hé gia ®×nh,Ch¨m sãc v­ên
817,3,13.0,17,14,2.0,Ch¨n nu«i heo,Hé gia ®×nh,Heo,Lµm v­ên,Hé gia ®×nh,Lµm cá v­ên
817,3,13.0,17,15,1.0,Lµm méc,Hé gia ®×nh,X©y dùng nhµ,Lµm v­ên,Hé gia ®×nh,Trång dõa
817,3,13.0,17,20,1.0,Ch¨n nu«i,T¹i hé,"Gµ, heo",Ch¨m sãc v­ên,Tù lµm,"Dõa, quýt"
817,3,13.0,17,20,3.0,Trång lóa,Tù lµm,Trång lóa,Ch¨n nu«i bß,Tù lµm,Bß
817,3,17.0,7,13,3.0,trång lóa,tù lµm cho hé,lóa tÎ th­êng,gÆt lóa thuª,lµm cho hé kh¸c,gÆt lóa
817,3,17.0,7,13,2.0,trång lóa,tù lµm cho hé,lóa tÎ th­êng,gÆt lóa thuª,lµm thuª cho hé kh¸c,gÆt lóa
817,3,17.0,7,13,4.0,ch¨n nu«i bß,tù lµm cho hé,bß sinh s¶n,trång mµu,tù lµm cho hé,rau c¶i
817,3,17.0,7,14,1.0,gi¸o viªn nh¹c,tr­êng tiÓu häc ®¹i ph­cc,gi¸o dôc,lµm v­ên,tù lµm cho hé,"chuèi, dõa"
817,3,17.0,7,14,2.0,s¶n xuÊt b¸nh,tù lµm,"b¸nh ngät, mÆn",lµm v­ên,tù lµm cho hé,"chuèi, dõa"
817,3,17.0,7,15,1.0,lµm v­ên,tù lµm t¹i hé,trångdõa,lµm thuª n«ng nghiÖp,lµm cho hé kh¸c,"trÇm l¸, cá ruéng"
817,3,19.0,20,13,2.0,Trång lóa,Hé gia ®×nh,Lóa,Ch¨n nu«i,Hé gia ®×nh,VÞt
817,3,19.0,20,13,1.0,Lµm ruéng,Hé gia ®×nh,Lóa,,,
817,3,19.0,20,14,2.0,C«ng nh©n viªn chøc,H§ND x·,C«ng chøc,Lµm ruéng,Tù lµm,Lóa tÎ th­êng
817,3,19.0,20,14,3.0,Lµm ruéng,Tù lµm,Lóa te th­êng,Se to8 dõa,Tù lµm,T¬ s¬ dõa
817,3,19.0,20,15,2.0,Ghe chë m­ín,Ghe nhµ,§­êng thñy,,,
817,3,19.0,20,15,1.0,Chuyªn chë m­ín,Ghe nhµ,Hµng ho¸,,,
817,5,3.0,24,13,1.0,Trång lóa,Hé gia ®×nh,Trång lóa,,,
817,5,3.0,24,13,3.0,bãc vá h¹t ®iÒu,c«ng ty TNHH TLC,chÕ biÕn h¹t ®iÒu,,,
817,5,3.0,24,13,2.0,ch¨n hu«i heo,Hé gia ®×nh,Nu«i heo,,,
817,5,3.0,24,14,1.0,Trång lóa,Hé gia ®×nh,Trång lóa,Nu«i gµ,Hé gia ®×nh,nu«i gµ
817,5,3.0,24,15,2.0,Trång lóa,Hé gia ®×nh,Trång lóa,lµm b¸nh cam,Hé gia ®×nh,phô lµm b¸nh
817,5,3.0,24,15,1.0,Trång lóa,Hé gia ®×nh,Trång lóa,lµm b¸nh cam,Hé gia ®×nh,phô lµm b¸nh
817,5,3.0,24,15,3.0,lµm b¸nh cam,Hé gia ®×nh,s¶n xuÊt b¸nh cam,,,
817,5,4.0,14,13,1.0,"Nu«i bß, vÞt",Hé gia ®×nh,"Bß, vÞt",,,
817,5,4.0,14,13,2.0,B¸n b¸nh canh,Hé gia ®×nh,B¸nh canh,Nu«i heo,Hé gia ®×nh,Heo
817,5,4.0,14,14,1.0,Nu«i vÞt,Hé gia ®×nh,VÞt,Trång lóa,Hé gia ®×nh,Lóa
817,5,4.0,14,14,3.0,"XÕp hép, lét t«m",CT CP Thñy s¶n Cöu Long,ChÕ biÕn t«m xuÊt khÈu,Trång lóa,Hé gia ®×nh,Lóa
817,5,4.0,14,14,2.0,Trång lóa,Hé gia ®×nh,Lóa,Nu«i bß,Hé gia ®×nh,Bß
817,5,4.0,14,15,1.0,Trång lóa,Hé gia ®×nh,Trång lóa,,,
817,5,4.0,14,15,2.0,Trång lóa,Hé gia ®×nh,Trång lóa,,,
817,5,5.0,10,14,1.0,Trång lóa,Hé gia ®×nh,Lóa,Phô hå,Hé kh¸c,X©y dùng nhµ
817,5,5.0,10,15,2.0,Kh¸p r­îu,Hé c¸ thÓ,R­îu,Trång lóa,Hé gia ®×nh,Lóa
817,5,5.0,10,15,1.0,Mua b¸n lóa,Hé gia ®×nh,lóa,Trång lóa,Hé gia ®×nh,Lóa
817,5,5.0,10,19,1.0,Tr­ëng Ban nh©n d©n Êp,UBND x· Thanh Mü,Qu¶n lý nhµ n­íc,Trång lóa,Hé gia ®×nh,Lóa
817,5,5.0,10,19,2.0,Trång lóa,Hé gia ®×nh,Lóa,Nu«i gµ,Hé gia ®×nh,Nu«i gµ
817,5,7.0,14,13,2.0,ch¨n nu«i gµ,hé gia ®×nh,nu«i gµ,,,
817,5,7.0,14,13,1.0,ch¹y xe «m,hé c¸ thÓ,vËn t¶i hµnh kh¸ch,,,
817,5,7.0,14,14,1.0,ch¹y xe l«i ®¹p,tù lµm,vËn t¶i hµnh kh¸ch,,,
817,5,7.0,14,14,2.0,b¸n bón n­íc lÌo,tù lµm,b¸n bón,,,
817,5,7.0,14,19,2.0,mua b¸n b¸nh dõa,tù lµm,b¸n b¸nh dõa,trång lóa,hé gia ®×nh,trång lóa
817,5,7.0,14,19,1.0,tµi xÕ xe t¶i,hé kh¸c,l¸i xe,trång lóa,hé gia ®×nh,trång lóa
817,5,17.0,15,13,3.0,Trång Lóa,Hé gia ®×nh,Lóa,,,
817,5,17.0,15,14,2.0,"Nu«i gµ, vÞt",Hé gia ®×nh,"Gµ, vÞt",Trång lóa,Hé gia ®×nh,Lóa
817,5,17.0,15,14,1.0,Trång lóa,Hé gia ®×nh,Lóa,Nu«i t«m,Hé gia ®×nh,T«m
817,5,17.0,15,15,2.0,X¸ch Hå,Hé kh¸c,X©y dùng,Trång lóa,Hé gia ®×nh,Trång lóa
817,5,21.0,19,13,1.0,Mua b¸n c¸ tÐp,Hé gia ®×nh,B¸n c¸ tÐp,Trång lóa,Hé gia ®×nh,Trång lóa
817,5,21.0,19,13,2.0,Mua b¸n c¸ tÐp,Hé gia ®×nh,B¸n c¸ tÐp,Trång lóa,Hé gia ®×nh,Trång lóa
817,5,21.0,19,14,2.0,Trång lóa nu«i t«m,Hé gia ®×nh,"Trång lóa, t«m",Ch¨n nu«i gµ,Hé gia ®×nh,Nu«i gµ
817,5,21.0,19,14,1.0,Trång lóa nu«i t«m,Hé gia ®×nh,"Trång lóa, t«m",,,
817,5,21.0,19,15,1.0,Bã chæi m­ín,Hé kh¸c,Bã chæi,Nu«i gµ,Hé gia ®×nh,Nu«i gµ
817,5,21.0,19,15,2.0,H¸i dõa m­ín,Hé kh¸c,H¸i dõa,Phô bã chæi,Hé gia ®×nh,Phô bã chæi
817,7,1.0,9,13,3.0,B¸n hñ tiÕu lÎ,Chî cÇu kÌ,Hñ tiÕu,,,
817,7,1.0,9,13,4.0,ChÕ biÕn thøc ¨n,CTy chÕ biÕn thøc ¨n,Thøc ¨n gia sóc,,,
817,7,1.0,9,14,3.0,"B¸n v¶i, ®å may s¼n",Cña hé,"V¶i, ®å may s¼n",,,
817,7,1.0,9,14,2.0,"¸n v¶i, ®å may s¼n",Cña hé,"V¶i, ®å may s¼n",,,
817,7,1.0,9,14,1.0,Tr­ëng ban nh©n d©n,BND khãm 4,Qu¶n lý nhµ n­íc,"b¸n v¶i, ®å may s¼n",Cña hé,"V¶i, ®å may s¼n"
817,7,1.0,9,14,4.0,"B¸n v¶i, ®å may s¼n",Cña hé,V¶i ®å may s¼n,,,
817,7,1.0,9,15,2.0,B¸n thøc ¨n gia sóc,T¹i chî,B¸n bu«n,,,
