tinh,huyen,xa,diaban,hoso,m5a1ct,m5a1c4,m5a1c5,m5a2ct,m5a2c11,m5a2c12,m5b1ct,m5b1c6,m5b1c7,m5b2ct,m5b2c4,m5b2c5,m5b3ct,m5b4c
101,8,27.0,16,14,8635.6,4510.0,4125.6,61511.0,61511.0,0.0,44879.0,44879.0,0.0,38449.0,38449.0,0.0,3565.0,300000.0
101,8,27.0,16,15,3950.2002,2985.6,964.60004,34923.6,34923.6,0.0,11958.0,11958.0,0.0,10175.0,10175.0,0.0,3577.0,0.0
101,9,3.0,23,13,2166.8,1450.5,716.3,14045.9,13090.9,955.0,7602.0,7602.0,0.0,9560.0,8360.0,1200.0,1410.0,0.0
101,9,3.0,23,14,1471.9,1156.8,315.1,11322.7,11198.5,124.2,3618.0,3618.0,0.0,1620.0,1620.0,0.0,880.0,0.0
101,9,3.0,23,15,1851.5,1598.5,253.0,24529.5,24080.6,448.9,14024.0,14024.0,0.0,9367.0,8877.0,490.0,4850.0,0.0
101,9,5.0,8,14,1904.5,1140.5,764.0,21943.6,21943.6,0.0,9747.0,9747.0,0.0,6188.0,6188.0,0.0,1540.0,0.0
101,9,5.0,8,15,1298.5,1119.2,179.3,18759.9,18759.9,0.0,7337.0,7337.0,0.0,2953.0,2953.0,0.0,1415.0,0.0
101,9,5.0,8,24,3326.6,2467.1,859.5,35298.3,35298.3,0.0,13433.0,13433.0,0.0,11919.0,11919.0,0.0,15300.0,0.0
101,9,11.0,35,13,2786.8,2786.8,0.0,18468.5,18468.5,0.0,7621.0,7621.0,0.0,7030.0,7030.0,0.0,2450.0,0.0
101,9,11.0,35,14,2407.8,1886.3,521.5,15720.7,15338.7,382.0,3730.0,3730.0,0.0,8420.0,8020.0,400.0,2600.0,0.0
101,9,11.0,35,20,4050.9,3621.0999,429.8,24817.1,24817.1,0.0,13586.0,13586.0,0.0,11365.0,11365.0,0.0,5670.0,0.0
101,9,15.0,15,13,2941.5999,2785.9,155.7,18985.7,18985.7,0.0,10778.0,10778.0,0.0,13507.0,13507.0,0.0,4150.0,33200.0
101,9,15.0,15,15,3174.7,3174.7,0.0,26105.7,26105.7,0.0,12754.0,12754.0,0.0,17032.0,17032.0,0.0,4910.0,47100.0
101,9,15.0,15,19,3486.3,2849.3,637.0,22169.5,22169.5,0.0,11372.0,11372.0,0.0,18082.0,18082.0,0.0,3910.0,17100.0
101,9,19.0,26,13,3731.9,3254.4,477.5,36678.9,36678.9,0.0,11920.0,11920.0,0.0,34200.0,34200.0,0.0,10300.0,0.0
101,9,19.0,26,14,1326.7,1326.7,0.0,9134.9,9134.9,0.0,5412.0,5412.0,0.0,12120.0,12120.0,0.0,2730.0,35000.0
101,9,19.0,26,15,3017.8,3017.8,0.0,23552.0,23552.0,0.0,8116.0,8116.0,0.0,15000.0,15000.0,0.0,4250.0,0.0
101,9,23.0,11,14,1429.8,1357.0,72.8,10398.1,10398.1,0.0,1345.0,1345.0,0.0,1870.0,1870.0,0.0,1550.0,5000.0
101,9,23.0,11,15,2151.4,2151.4,0.0,21519.0,21519.0,0.0,13299.0,13299.0,0.0,9410.0,9410.0,0.0,3770.0,0.0
101,9,23.0,11,24,2119.7,2119.7,0.0,21194.2,21194.2,0.0,6664.0,6664.0,0.0,12370.0,12370.0,0.0,3120.0,40000.0
101,9,31.0,10,13,4726.8,3722.0,1004.8,29374.1,29374.1,0.0,9611.0,9611.0,0.0,11862.0,11862.0,0.0,14665.0,8000.0
101,9,31.0,10,14,3311.1,3311.1,0.0,26143.4,26143.4,0.0,9735.0,9735.0,0.0,15152.0,15152.0,0.0,2835.0,10000.0
101,9,31.0,10,15,2446.7,2028.4,418.3,20936.7,20631.1,305.6,4910.0,4910.0,0.0,3830.0,3830.0,0.0,12395.0,15000.0
101,9,33.0,10,19,2739.2,2261.7,477.5,20095.1,20095.1,0.0,13418.0,13418.0,0.0,17750.0,17750.0,0.0,4250.0,0.0
101,9,33.0,10,20,2559.3,2368.3,191.0,20724.3,20724.3,0.0,5744.0,5744.0,0.0,5505.0,5505.0,0.0,4150.0,0.0
101,9,33.0,10,24,3377.3,3377.3,0.0,25298.1,25298.1,0.0,9050.0,9050.0,0.0,8020.0,8020.0,0.0,3650.0,0.0
101,9,35.0,24,13,3426.3,2901.0,525.3,29374.6,29374.6,0.0,7078.0,7078.0,0.0,4870.0,4870.0,0.0,3015.0,0.0
101,9,35.0,24,14,1451.9,1356.4,95.5,7648.6,7648.6,0.0,1418.0,1418.0,0.0,510.0,510.0,0.0,970.0,0.0
101,9,35.0,24,20,3533.9001,3199.6,334.3,22395.3,22395.3,0.0,9273.0,9273.0,0.0,3923.0,3823.0,100.0,3400.0,0.0
101,9,39.0,17,19,4961.3,4961.3,0.0,28666.1,28666.1,0.0,10895.0,10895.0,0.0,7940.0,7940.0,0.0,1420.0,0.0
101,9,39.0,17,20,5178.4,5178.4,0.0,43037.902,43037.902,0.0,10820.0,10820.0,0.0,9440.0,9440.0,0.0,1770.0,0.0
101,9,39.0,17,24,3736.3,3736.3,0.0,20341.4,20341.4,0.0,9025.0,9025.0,0.0,7010.0,7010.0,0.0,1400.0,0.0
101,11,1.0,10,13,3358.0,3358.0,0.0,27711.0,27711.0,0.0,9324.0,9324.0,0.0,9472.0,9472.0,0.0,3650.0,0.0
101,11,1.0,10,14,3470.3,3470.3,0.0,23486.9,23486.9,0.0,16895.0,16895.0,0.0,10552.0,10552.0,0.0,4750.0,0.0
101,11,1.0,10,15,2888.6,2888.6,0.0,26510.5,26510.5,0.0,10807.0,10807.0,0.0,10350.0,10350.0,0.0,2600.0,0.0
101,11,3.0,17,13,4404.5,4404.5,0.0,36012.1,36012.1,0.0,41116.0,41116.0,0.0,60700.0,60700.0,0.0,12280.0,20000.0
101,11,3.0,17,15,8205.1,8205.1,0.0,44174.6,44174.6,0.0,16770.0,16770.0,0.0,29390.0,29390.0,0.0,33920.0,100000.0
