tinh,huyen,xa,diaban,hoso,tongthu_01,tongthu_02,tongthu_03,tongthu_04,tongthu_05,tongthu_06,tongthu_07,tongthu_08,tongthu_09,tongthu_10,tongthu_11,tongthu_12,tongthu_13,tongthu_14,tongthu_15,m6ac8,m6ac9,m6bc7,m8c7
101,7,33.0,21,20,230108.0,2131.0,4261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198636.0,15080.0,10000.0,0.0,0,0,14300,1
101,7,33.0,21,24,64972.0,136.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24751.0,40000.0,0.0,0,0,0,2
101,7,37.0,15,13,117837.0,0.0,0.0,78915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38922.0,0.0,0.0,0,0,0,2
101,7,37.0,15,14,67161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67161.0,0.0,0.0,0,0,0,2
101,7,37.0,15,15,58926.0,0.0,0.0,34438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24488.0,0.0,0.0,0,0,0,2
101,8,3.0,7,13,45241.0,614.0,87.0,43443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.0,0.0,0.0,0,0,2000,2
101,8,3.0,7,14,30412.0,1361.0,87.0,20151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8813.0,0.0,0.0,0,0,0,2
101,8,3.0,7,15,61334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59688.0,1646.0,0.0,0.0,0,0,7100,2
101,8,5.0,16,13,130561.0,0.0,203.0,77418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29940.0,23000.0,0.0,0,0,20300,2
101,8,5.0,16,14,102527.0,0.0,0.0,81274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21253.0,0.0,0.0,0,0,0,2
101,8,5.0,16,15,60447.0,0.0,0.0,44489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15958.0,0.0,0.0,0,0,0,2
101,8,7.0,18,14,119963.0,0.0,0.0,119338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,0.0,0.0,0,0,0,2
101,8,7.0,18,19,115459.0,0.0,0.0,106070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9389.0,0.0,0.0,0,0,4500,2
101,8,7.0,18,20,74610.0,0.0,0.0,23601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51009.0,0.0,0.0,0,0,0,2
101,8,15.0,27,14,64645.0,0.0,0.0,49723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14922.0,0.0,0.0,0,0,0,2
101,8,15.0,27,15,131880.0,0.0,0.0,18367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113513.0,0.0,0.0,0.0,0,0,0,2
101,8,15.0,27,20,29570.0,0.0,3696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25874.0,0.0,0.0,0,0,0,2
101,8,19.0,22,14,66131.0,0.0,0.0,46651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19480.0,0.0,0.0,0,0,0,2
101,8,19.0,22,15,62612.0,0.0,0.0,21398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13492.0,0.0,27722.0,0,0,2000,2
101,8,19.0,22,20,108093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96912.0,11181.0,0.0,0.0,0,0,0,2
101,8,25.0,6,14,45141.0,0.0,0.0,44540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.0,0.0,0.0,0,0,0,2
101,8,25.0,6,15,63692.0,0.0,277.0,62907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,0.0,0.0,0,0,6300,2
101,8,25.0,6,19,110382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109724.0,658.0,0.0,0.0,0,0,0,1
101,8,27.0,16,13,89139.0,87.0,87.0,73006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15959.0,0.0,0.0,0,0,0,2
101,8,27.0,16,14,984684.0,0.0,0.0,18145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784019.0,12061.0,0.0,170459.0,0,0,0,2
101,8,27.0,16,15,144833.0,0.0,0.0,70304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74529.0,0.0,0.0,0,0,1800,2
101,9,3.0,23,13,56482.0,0.0,0.0,56020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0,0.0,0,0,0,2
101,9,3.0,23,14,37148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37148.0,0.0,0.0,0,0,0,2
101,9,3.0,23,15,81067.0,0.0,0.0,78757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2310.0,0.0,0.0,0,0,0,2
101,9,5.0,8,14,97962.0,0.0,0.0,61672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36290.0,0.0,0.0,0,0,350,2
101,9,5.0,8,15,50597.0,44.0,0.0,16008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31716.0,1869.0,960.0,0.0,0,0,0,2
101,9,5.0,8,24,107321.0,0.0,0.0,22775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52943.0,31603.0,0.0,0.0,0,0,0,2
101,9,11.0,35,13,48779.0,0.0,0.0,46469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2310.0,0.0,0.0,0,0,7500,2
101,9,11.0,35,14,37702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37702.0,0.0,0.0,0,0,0,2
101,9,11.0,35,20,162494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158544.0,3950.0,0.0,0.0,0,0,0,2
101,9,15.0,15,13,153937.0,0.0,346.0,93172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60419.0,0.0,0.0,0,0,3100,2
101,9,15.0,15,15,186900.0,0.0,521.0,177496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8883.0,0.0,0.0,0,0,8000,2
101,9,15.0,15,19,88280.0,0.0,190.0,86585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.0,0.0,0.0,0,0,7000,2
101,9,19.0,26,13,109750.0,92.0,1848.0,72091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10719.0,25000.0,0.0,0,0,0,2
101,9,19.0,26,14,71464.0,0.0,0.0,66350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5114.0,0.0,0.0,0,0,0,2
101,9,19.0,26,15,58541.0,0.0,0.0,43619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14922.0,0.0,0.0,0,0,0,2
101,9,23.0,11,14,21682.0,0.0,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21243.0,0.0,0.0,0,0,0,2
101,9,23.0,11,15,56736.0,0.0,0.0,33324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18408.0,5004.0,0.0,0.0,0,0,0,2
101,9,23.0,11,24,90751.0,0.0,0.0,73286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17465.0,0.0,0.0,0,0,0,1
101,9,31.0,10,13,96692.0,0.0,14323.0,53815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28554.0,0.0,0.0,0,0,0,2
101,9,31.0,10,14,93666.0,0.0,804.0,74349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18513.0,0.0,0.0,0,0,0,2
