tinh,huyen,xa,diaban,hoso,thunhap,thubq,chitieu,chids,chibq,chidsbq
101,7,27.0,3,13,52450.0,1093.0,52839.4,49119.4,1100.8,1023.3000000000001
101,7,27.0,3,14,30862.0,1286.0,27921.6,25741.6,1163.4,1072.6000000000001
101,7,27.0,3,15,56811.0,947.0,60552.5,56977.5,1009.2,949.6
101,7,33.0,21,15,124036.0,3445.0,291400.3,107380.3,8094.5,2982.8
101,7,33.0,21,20,164044.0,3418.0,168779.5,155929.5,3516.2000000000003,3248.5
101,7,33.0,21,24,24972.0,520.0,59596.0,53146.0,1241.6000000000001,1107.2
101,7,37.0,15,13,117837.0,2455.0,108215.5,71515.5,2254.5,1489.9
101,7,37.0,15,14,67161.0,2798.0,41357.1,35957.1,1723.2,1498.2
101,7,37.0,15,15,58926.0,1228.0,65930.1,61850.1,1373.5,1288.5
101,8,3.0,7,13,45241.0,943.0,48427.5,46952.5,1008.9000000000001,978.2
101,8,3.0,7,14,30412.0,845.0,31804.3,29994.3,883.5,833.2
101,8,3.0,7,15,54482.0,1135.0,59537.8,57532.8,1240.4,1198.6000000000001
101,8,5.0,16,13,107561.0,2241.0,131339.1,121479.1,2736.2000000000003,2530.8
101,8,5.0,16,14,102527.0,1709.0,75610.6,71890.6,1260.2,1198.2
101,8,5.0,16,15,60447.0,1007.0,65210.9,61710.9,1086.8,1028.5
101,8,7.0,18,14,119963.0,2499.0,56072.5,53382.5,1168.2,1112.1000000000001
101,8,7.0,18,19,115459.0,1924.0,79634.3,77884.3,1327.2,1298.1000000000001
101,8,7.0,18,20,74610.0,1554.0,65867.4,32027.4,1372.2,667.2
101,8,15.0,27,14,64645.0,898.0,68501.8,58101.8,951.4000000000001,807.0
101,8,15.0,27,15,62736.0,1743.0,47608.4,40558.4,1322.5,1126.6000000000001
101,8,15.0,27,20,29570.0,1232.0,27452.2,26002.2,1143.8,1083.4
101,8,19.0,22,14,66131.0,1378.0,61362.902,56902.902,1278.4,1185.5
101,8,19.0,22,15,62612.0,1304.0,56387.7,51337.7,1174.7,1069.5
101,8,19.0,22,20,74493.0,2069.0,52420.5,46165.5,1456.1000000000001,1282.4
101,8,25.0,6,14,45141.0,1254.0,30373.6,29123.6,843.7,809.0
101,8,25.0,6,15,63692.0,1769.0,54651.8,52101.8,1518.1000000000001,1447.3000000000002
101,8,25.0,6,19,33514.0,931.0,30796.9,29746.9,855.5,826.3000000000001
101,8,27.0,16,13,89139.0,1061.0,98775.1,96205.1,1175.9,1145.3
101,8,27.0,16,14,396324.0,6605.0,187894.6,184329.6,3131.6000000000004,3072.2000000000003
101,8,27.0,16,15,144833.0,3017.0,73279.8,69702.8,1526.7,1452.1000000000001
101,9,3.0,23,13,56482.0,1569.0,40664.7,39254.7,1129.6000000000001,1090.4
101,9,3.0,23,14,37148.0,1548.0,23484.6,22604.6,978.5,941.9000000000001
101,9,3.0,23,15,81067.0,2252.0,67292.0,62442.0,1869.2,1734.5
101,9,5.0,8,14,97962.0,2721.0,48961.1,47421.1,1360.0,1317.3000000000002
101,9,5.0,8,15,42329.0,882.0,39692.4,38277.4,826.9000000000001,797.4000000000001
101,9,5.0,8,24,99761.0,1663.0,88766.9,73466.9,1479.4,1224.4
101,9,11.0,35,13,48779.0,2032.0,49114.3,46664.3,2046.4,1944.3000000000002
101,9,11.0,35,14,37702.0,1571.0,36146.5,33546.5,1506.1000000000001,1397.8000000000002
101,9,11.0,35,20,65006.0,1083.0,67169.0,61499.0,1119.5,1025.0
101,9,15.0,15,13,153937.0,4276.0,68344.3,64194.3,1898.5,1783.2
101,9,15.0,15,15,186900.0,3894.0,84920.4,80010.4,1769.2,1666.9
101,9,15.0,15,19,88280.0,2452.0,78709.8,74799.8,2186.4,2077.8
101,9,19.0,26,13,84750.0,1413.0,111680.8,101380.8,1861.3000000000002,1689.7
101,9,19.0,26,14,71464.0,5955.0,32823.6,30093.6,2735.3,2507.8
101,9,19.0,26,15,58541.0,976.0,57015.8,52765.8,950.3000000000001,879.4000000000001
101,9,23.0,11,14,21682.0,903.0,17840.9,16290.9,743.4000000000001,678.8000000000001
101,9,23.0,11,15,51948.0,1082.0,58185.4,54415.4,1212.2,1133.7
101,9,23.0,11,24,90751.0,1513.0,53377.9,50257.9,889.6,837.6
