tinh,huyen,xa,diaban,hoso,m4c2ma,m4c2c26,m4c2c27,m4c2c28
101,7,37.0,15,13,,,,
101,7,37.0,15,14,,,,
101,7,37.0,15,15,,,,
101,8,3.0,7,13,,,,
101,8,3.0,7,14,,,,
101,8,3.0,7,15,2.0,2.0,6.0,72.0
101,8,3.0,7,15,2.0,14.0,5.0,60.0
101,8,3.0,7,15,2.0,13.0,4.0,48.0
101,8,3.0,7,15,1.0,14.0,12.0,144.0
101,8,3.0,7,15,2.0,15.0,,1296.0
101,8,3.0,7,15,1.0,7.0,80.0,960.0
101,8,3.0,7,15,1.0,5.0,358.0,4296.0
101,8,3.0,7,15,2.0,5.0,4.0,48.0
101,8,3.0,7,15,1.0,16.0,,5556.0
101,8,3.0,7,15,2.0,3.0,85.0,1020.0
101,8,3.0,7,15,1.0,2.0,4.0,48.0
101,8,3.0,7,15,1.0,15.0,,5556.0
101,8,3.0,7,15,1.0,6.0,9.0,108.0
101,8,3.0,7,15,2.0,16.0,,1296.0
101,8,3.0,7,15,2.0,6.0,4.0,48.0
101,8,5.0,16,13,,,,
101,8,5.0,16,14,,,,
101,8,5.0,16,15,,,,
101,8,7.0,18,14,,,,
101,8,7.0,18,19,,,,
101,8,7.0,18,20,,,,
101,8,15.0,27,14,,,,
101,8,15.0,27,15,1.0,6.0,9.0,108.0
101,8,15.0,27,15,1.0,15.0,,69144.0
101,8,15.0,27,15,1.0,16.0,,69144.0
101,8,15.0,27,15,1.0,1.0,5573.0,66876.0
101,8,15.0,27,15,1.0,5.0,45.0,540.0
101,8,15.0,27,15,1.0,3.0,27.0,324.0
101,8,15.0,27,15,1.0,2.0,18.0,216.0
101,8,15.0,27,15,1.0,4.0,90.0,1080.0
101,8,15.0,27,20,,,,
101,8,19.0,22,14,,,,
101,8,19.0,22,15,,,,
101,8,19.0,22,20,1.0,7.0,108.0,1296.0
101,8,19.0,22,20,1.0,3.0,27.0,324.0
101,8,19.0,22,20,1.0,12.0,99.0,1188.0
101,8,19.0,22,20,1.0,8.0,2243.0,26916.0
101,8,19.0,22,20,1.0,14.0,27.0,324.0
101,8,19.0,22,20,1.0,4.0,9.0,108.0
101,8,19.0,22,20,1.0,5.0,179.0,2148.0
101,8,19.0,22,20,1.0,15.0,,33600.0
101,8,19.0,22,20,1.0,2.0,108.0,1296.0
101,8,19.0,22,20,1.0,16.0,,33600.0
101,8,25.0,6,14,,,,
101,8,25.0,6,15,,,,
101,8,25.0,6,19,1.0,16.0,,76868.0
101,8,25.0,6,19,1.0,15.0,,76868.0
101,8,25.0,6,19,1.0,1.0,5697.0,62667.0
101,8,25.0,6,19,1.0,6.0,24.0,264.0
101,8,25.0,6,19,1.0,10.0,949.0,10439.0
101,8,25.0,6,19,1.0,3.0,33.0,363.0
101,8,25.0,6,19,1.0,5.0,285.0,3135.0
101,8,27.0,16,13,,,,
101,8,27.0,16,14,1.0,15.0,,588360.0
101,8,27.0,16,14,1.0,12.0,3219.0,38628.0
101,8,27.0,16,14,1.0,4.0,276.0,3312.0
101,8,27.0,16,14,1.0,7.0,1150.0,13800.0
101,8,27.0,16,14,1.0,10.0,10576.0,126912.0
101,8,27.0,16,14,1.0,1.0,31727.0,380724.0
101,8,27.0,16,14,1.0,14.0,597.0,7164.0
101,8,27.0,16,14,1.0,3.0,1379.0,16548.0
101,8,27.0,16,14,1.0,2.0,37.0,444.0
101,8,27.0,16,14,1.0,16.0,,588360.0
101,8,27.0,16,14,1.0,5.0,69.0,828.0
101,8,27.0,16,15,,,,
101,9,3.0,23,13,,,,
101,9,3.0,23,14,,,,
101,9,3.0,23,15,,,,
101,9,5.0,8,14,,,,
101,9,5.0,8,15,1.0,2.0,12.0,144.0
101,9,5.0,8,15,1.0,5.0,452.0,5424.0
101,9,5.0,8,15,1.0,6.0,34.0,408.0
101,9,5.0,8,15,1.0,7.0,68.0,816.0
101,9,5.0,8,15,1.0,14.0,43.0,516.0
101,9,5.0,8,15,1.0,15.0,,7308.0
101,9,5.0,8,15,1.0,16.0,,7308.0
101,9,5.0,8,24,1.0,4.0,27.0,324.0
101,9,5.0,8,24,1.0,16.0,,7560.0
101,9,5.0,8,24,1.0,3.0,135.0,1620.0
101,9,5.0,8,24,1.0,15.0,,7560.0
101,9,5.0,8,24,1.0,7.0,45.0,540.0
101,9,5.0,8,24,1.0,12.0,45.0,540.0
101,9,5.0,8,24,1.0,1.0,153.0,1836.0
101,9,5.0,8,24,1.0,14.0,90.0,1080.0
101,9,5.0,8,24,1.0,9.0,135.0,1620.0
101,9,11.0,35,13,,,,
101,9,11.0,35,14,,,,
101,9,11.0,35,20,1.0,16.0,,97488.0
101,9,11.0,35,20,1.0,1.0,7671.0,92052.0
101,9,11.0,35,20,1.0,15.0,,97488.0
101,9,11.0,35,20,1.0,3.0,43.0,516.0
101,9,11.0,35,20,1.0,12.0,256.0,3072.0
101,9,11.0,35,20,1.0,4.0,26.0,312.0
101,9,11.0,35,20,1.0,2.0,128.0,1536.0
101,9,15.0,15,13,,,,
101,9,15.0,15,15,,,,
101,9,15.0,15,19,,,,
101,9,19.0,26,13,,,,
101,9,19.0,26,14,,,,
101,9,19.0,26,15,,,,
101,9,23.0,11,14,,,,
