idstd2015,id2015,idstd2005,id2005,firm_size,c9b,d1a3,d2,d10,d11,i2b,i4b,n2a,n2b,n2i,n5a,n5b,_2015_h8,k1c,k2c,_2005_q86a1,_2005_q86a2,_2005_q86a3,_2005_q86a4,_2005_q86a5,_2005_q86a6,_2005_q86a8,_2005_q86a9,_2005_q86a10,_2005_q86a11,_2005_q91a1,_2005_q91a7,_2005_q91a12,_2005_q87a,_2005_q87d,2015_cost_main_activity,2015_cost_theft,2015_cost_spoilage,2015_total_vrcost,2015_finance_on_credit,2015_finance_from_receivables,2005_total_reinvestment,2005_total_assets,2005_receivables,2005_total_cost
599677.0,10902.0,0.0,0.0,1,0.0,90.0,4500000000.0,5.0,0.0,360000000.0,0.0,200000000.0,60000000.0,0.0,0.0,0.0,50000000.0,50.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4050000000.0,225000000.0,0.0,50000000.0,25000000.0,15000000.0,0.0,0.0,0.0,0.0
599681.0,0.0,60906.0,11058.0,1,0.0,100.0,2292999936.0,0.0,0.0,10000000.0,0.0,1147000064.0,0.0,0.0,1550000000.0,0.0,0.0,80.0,20.0,2293.0,2202.0,769.0,1147.0,31.0,4.0,0.0,0.0,7.0,17.0,2934.0,1444.0,93.0,158.0,100.0,2292999936.0,0.0,0.0,1550000000.0,1240000000.0,310000000.0,158.0,2841.0,93.0,1975.0
599682.0,0.0,60547.0,7153.0,1,0.0,30.0,3000000000.0,20.0,30.0,10000000.0,0.0,800000000.0,0.0,0.0,185000000.0,0.0,0.0,58.0,70.0,3000.0,2500.0,1000.0,800.0,200.0,0.0,0.0,200.0,100.0,0.0,2000.0,800.0,400.0,17.0,25.0,900000000.0,600000000.0,900000000.0,185000000.0,107300000.0,129499999.99999999,4.25,1600.0,400.0,2300.0
599682.0,0.0,60547.0,0.0,1,400000000.0,100.0,5400000000.0,0.0,0.0,0.0,50000000.0,360000000.0,12000000.0,0.0,0.0,1000000000.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400000000.0,0.0,0.0,1000000000.0,300000000.0,300000000.0,0.0,0.0,0.0,0.0
599684.0,0.0,60538.0,7088.0,1,0.0,60.0,1032000000.0,0.0,0.0,12000000.0,0.0,110000000.0,0.0,0.0,9000000.0,9000000.0,0.0,0.0,80.0,1032.0,1011.0,900.0,110.0,8.0,0.0,0.0,15.0,9.0,4.0,267.0,232.0,108.0,1.0,80.0,619200000.0,0.0,0.0,18000000.0,0.0,14400000.0,0.8,159.0,108.0,1046.0
599684.0,0.0,60538.0,0.0,1,720000000.0,40.0,5000000000.0,0.0,0.0,4000000.0,0.0,482862240.0,58613118.0,0.0,100000000.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000000.0,0.0,0.0,100000000.0,50000000.0,50000000.0,0.0,0.0,0.0,0.0
599687.0,0.0,60320.0,3015.0,1,0.0,100.0,1200000000.0,0.0,0.0,6000000.0,0.0,240000000.0,0.0,0.0,490000000.0,90000000.0,0.0,0.0,70.0,1200.0,1145.0,800.0,240.0,70.0,0.0,0.0,10.0,120.0,15.0,3740.0,400.0,20.0,15.4,60.0,1200000000.0,0.0,0.0,580000000.0,0.0,406000000.0,9.24,3720.0,20.0,1255.0
599689.0,0.0,60574.0,7343.0,1,0.0,100.0,1763520000.0,0.0,0.0,0.0,0.0,135000000.0,0.0,0.0,0.0,0.0,0.0,30.0,80.0,1763.52,1528.0,1256.0,135.0,8.6000004,84.0,0.0,0.0,11.45,42.768,1630.88,1349.88,202.64999,105.742,50.0,1763520000.0,0.0,0.0,0.0,0.0,0.0,52.871,1428.2300100000002,202.64999,1537.8180004
599689.0,0.0,60574.0,0.0,1,0.0,65.0,2500000000.0,0.0,0.0,36000000.0,7000000.0,243000000.0,12000000.0,1320000000.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599689.0,10927.0,0.0,0.0,1,0.0,70.0,56000000000.0,0.0,0.0,0.0,0.0,1000000000.0,30000000.0,1100000000.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599690.0,0.0,60933.0,11857.0,1,0.0,40.0,41080000512.0,0.0,0.0,60000000.0,0.0,645000000.0,0.0,0.0,92000000.0,0.0,0.0,100.0,100.0,41080.0,38000.0,33170.0,645.0,871.0,649.0,0.0,15.0,209.0,125.0,16683.0,14105.0,5203.0,3139.0,15.0,16432000204.8,0.0,0.0,92000000.0,92000000.0,92000000.0,470.84999999999997,11480.0,5203.0,35684.0
599691.0,0.0,60358.0,3801.0,1,0.0,90.0,1186359936.0,0.0,0.0,0.0,0.0,392390016.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,1186.36,1272.67,806.41998,392.39001,38.959999,0.0,0.0,0.0,253.0,0.0,1254.0,621.5,0.0,-86.313,0.0,1067723942.4,0.0,0.0,0.0,0.0,0.0,-0.0,1254.0,0.0,1490.769989
599691.0,10944.0,0.0,0.0,1,0.0,90.0,1500000000.0,-7.0,0.0,0.0,0.0,1000000000.0,50000000.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350000000.0,-105000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599692.0,0.0,60693.0,9510.0,1,0.0,100.0,85759000576.0,0.0,0.0,50000000.0,0.0,533180000.0,0.0,0.0,0.0,31400000.0,0.0,50.0,10.0,85759.0,85388.0,81236.0,533.17999,514.0,494.0,0.0,555.0,2075.0,514.0,39624.0,38036.0,3134.0,371.3,0.0,85759000576.0,0.0,0.0,31400000.0,15700000.0,3140000.0,0.0,36490.0,3134.0,85921.17999
599693.0,0.0,60688.0,9497.0,1,0.0,50.0,10434599936.0,0.0,4.0,170000000.0,100000000.0,1635400064.0,0.0,0.0,200000000.0,700000000.0,0.0,40.0,100.0,10434.6,16776.9,11781.5,1635.4,89.5,3.5999999,0.0,0.0,220.0,0.0,8184.0,7164.0,3018.8,-249.0,0.0,5217299968.0,0.0,417383997.44,900000000.0,360000000.0,900000000.0,-0.0,5165.2,3018.8,13729.9999999
599696.0,0.0,60696.0,9610.0,1,0.0,10.0,1900000000.0,0.0,0.0,15000000.0,0.0,170000000.0,0.0,0.0,800000000.0,0.0,0.0,0.0,0.0,1900.0,1900.0,1500.0,170.0,10.0,0.0,0.0,20.0,200.0,20.0,0.0,0.0,0.0,0.0,30.0,190000000.0,0.0,0.0,800000000.0,0.0,0.0,0.0,0.0,0.0,1920.0
599697.0,10959.0,0.0,0.0,1,0.0,98.0,156000000000.0,0.0,0.0,0.0,0.0,1500000000.0,144000000.0,150000000000.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152880000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599698.0,0.0,60383.0,4066.0,1,0.0,70.0,553000000.0,0.0,0.0,0.0,1000000.0,92000000.0,0.0,0.0,0.0,0.0,0.0,20.0,90.0,553.0,546.0,376.0,92.0,2.0,0.0,0.0,0.0,76.0,0.0,1056.0,391.0,6.0,5.0,100.0,387100000.0,0.0,0.0,0.0,0.0,0.0,5.0,1050.0,6.0,546.0
599698.0,0.0,60383.0,0.0,1,0.0,80.0,1483000000.0,0.0,0.0,0.0,0.0,371000000.0,20000000.0,0.0,0.0,0.0,0.0,70.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1186400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599698.0,10961.0,0.0,0.0,1,0.0,100.0,1300000000.0,0.0,0.0,0.0,0.0,800000000.0,240000000.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599703.0,0.0,60374.0,3974.0,1,0.0,30.0,211000000.0,0.0,2.0,40000000.0,0.0,43000000.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,211.0,204.0,289.0,43.0,24.0,3.0,0.0,0.0,11.5,2.0,915.0,538.0,0.0,7.0,0.0,63300000.0,0.0,4220000.0,0.0,0.0,0.0,0.0,915.0,0.0,372.5
599704.0,0.0,60380.0,4027.0,1,0.0,100.0,2000000000.0,0.0,0.0,50000000.0,0.0,270000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1900.0,1400.0,270.0,0.0,0.0,0.0,0.0,230.0,27.0,3400.0,2200.0,0.0,19.0,100.0,2000000000.0,0.0,0.0,0.0,0.0,0.0,19.0,3400.0,0.0,1927.0
599705.0,0.0,60698.0,9651.0,1,0.0,100.0,6611999744.0,0.0,0.0,40000000.0,0.0,800000000.0,0.0,0.0,300000000.0,0.0,0.0,0.0,50.0,6612.0,6400.0,4200.0,800.0,50.0,10.0,0.0,0.0,300.0,0.0,5960.0,1350.0,200.0,200.0,0.0,6611999744.0,0.0,0.0,300000000.0,0.0,150000000.0,0.0,5760.0,200.0,5360.0
599710.0,0.0,60845.0,10748.0,1,0.0,100.0,1624999936.0,0.0,0.0,6000000.0,0.0,120000000.0,0.0,0.0,0.0,1350000000.0,0.0,0.0,0.0,1625.0,2091.0,975.0,120.0,0.0,16.0,80.0,0.0,900.0,0.0,4529.0,864.0,535.0,0.0,0.0,1624999936.0,0.0,0.0,1350000000.0,0.0,0.0,0.0,3994.0,535.0,2091.0
599710.0,10986.0,0.0,0.0,1,0.0,60.0,5000000000.0,0.0,0.0,0.0,0.0,1100000000.0,2000000000.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599711.0,0.0,60322.0,3113.0,1,0.0,60.0,5171999744.0,0.0,0.0,0.0,0.0,126000000.0,0.0,0.0,167000000.0,0.0,0.0,0.0,30.0,5172.0,5095.0,4646.0,126.0,88.0,0.0,0.0,56.0,3.5,76.0,2084.0,1280.0,42.0,55.0,0.0,3103199846.4,0.0,0.0,167000000.0,0.0,50100000.0,0.0,2042.0,42.0,4995.5
599711.0,0.0,60322.0,0.0,1,0.0,100.0,13000000000.0,0.0,0.0,24000000.0,0.0,329120000.0,138000000.0,0.0,0.0,0.0,0.0,80.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599717.0,0.0,60587.0,7642.0,1,0.0,80.0,7641999872.0,0.0,0.0,0.0,0.0,347000000.0,0.0,0.0,1070000000.0,0.0,0.0,0.0,65.0,7642.0,7625.0,6199.0,347.0,228.0,0.0,0.0,189.0,457.0,85.0,5350.0,2650.0,620.0,27.0,0.0,6113599897.6,0.0,0.0,1070000000.0,0.0,695500000.0,0.0,4730.0,620.0,7505.0
599717.0,0.0,60587.0,0.0,1,0.0,100.0,60000000000.0,0.0,0.0,0.0,0.0,-8.0,480000000.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
